ProductCode, Description, ExFactoryPrice, PackagingType, DiscountGroup ,CustomerDiscount , VATClass, Brand, Weight
"J31090187","Pork Prime Chops per Kg","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090188","P/Rolled Shld B/less R/Off /kg","0","KG","31090195","No","NONVAT","JF-FRES PK","1.000"
"J31090189","P/Rolled Shld B/less R/On /kg","0","KG","31090189","No","NONVAT","JF-FRES PK","1.000"
"J31090190","Pork Shoulder Joint per Kg","642.5","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090191","Pork Loin B/less R/less- SER","731","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090192","Pork Shoulder Bone In per Kg","315.5","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090195","Shoulder Square Ribs per kg","413","KG","31090195","No","NONVAT","JF-FRES PK","1.000"
"J31090196","Baby Spare Ribs per Kg","416","KG","31090196","No","NONVAT","JF-FRES PK","1.000"
"J31090197","Choma Pork Ribs Per Kg","264","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090199","Back Fat","396.5","KG","31090199","No","NONVAT","JF-FRES PK","1.000"
"J31090200","Pork Tenderloin","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090201","Discontinued","104","PC","31090201","No","NONVAT","JF-FRSH BG","0.200"
"J31090202","Fresh Hamburgers 1kg","426","PC","31090202","No","NONVAT","JF-FRSH BG","1.000"
"J31090203","Fresh Hamburgers 800gm","314.4","PC","31090203","No","NONVAT","JF-FRSH BG","0.800"
"J31090206","Pork Loin Chops 454gms","0","PC","","No","NONVAT","JF-FRES PK","0.454"
"J31090208","Pork Celestine","131.5","KG","","No","NONVAT","JF-MISCPRK","1.000"
"J31090209","Pork Chops (Collar) 1kg","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090210","Pork Chops (Collar) 20 x 454gm","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090211","Porker Side","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090212","Pork Rind","245","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090213","P-Loin B-in R-Off w/out Kidney","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090214","P-loin, Bone-In,Rind-On","496.5","KG","31090217","No","NONVAT","JF-FRES PK","1.000"
"J31090215","Eisbien (Hind shanks / Hock)","286","KG","31090242","No","NONVAT","JF-FRES PK","1.000"
"J31090217","P-Loin B/less R-On /kg","798.5","KG","31090217","No","NONVAT","JF-FRES PK","1.000"
"J31090220","Striploin Steaks 500gm","244.5","PC","","No","NONVAT","JF-FRES BE","0.500"
"J31090221","P-Belly B/less R/less /kg","557.5","KG","31090221","No","NONVAT","JF-FRES PK","1.000"
"J31090222","Shoulder Baby Square Rib  /kg","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090224","Pork Prime Chops 500gm","0","PC","","No","NONVAT","JF-FRES PK","0.500"
"J31090225","Shoulder Chops 454gm","0","KG","","No","NONVAT","JF-FRES PK","0.464"
"J31090226","Baconer (Head On) /kg","419","KG","31090226","No","NONVAT","JF-FRES PK","1.000"
"J31090227","Baconer (Headless) /kg","439","KG","31090227","No","NONVAT","JF-FRES PK","1.000"
"J31090228","Baconer Sides /kg","418.5","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090229","Blood Meat Per Litre","154.5","LTR","31090229","No","NONVAT","JF-FRES PK","1.000"
"J31090230","Shoulder B/In R/On /kg","460.5","KG","31090230","No","NONVAT","JF-FRES PK","1.000"
"J31090231","Shoulder B/In R/Less /kg","538.5","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090232","Shoulder B/less Rind-on /kg","268.5","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090233","Flare Fat /kg","210","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090234","Leg R/less B/In","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090236","Lung","129.5","KG","","No","NONVAT","JF-MISCPRK","1.000"
"J31090237","Pork Chops R/On /kg","636","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090238","Pork (Sow) Meat /kg","150","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090241","Rolled Leg B'ss/R'ss), per Kg","537.5","KG","31090241","No","NONVAT","JF-FRES PK","1.000"
"J31090243","Sow (Head On)","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090244","Sow (Headless)","284.5","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090246","Earless & Noseless Pk Head /kg","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090247","Frozen Shoulder Riblets 500gm","260.5","PC","31090247","No","NONVAT","JF-FRES PK","0.500"
"J31090248","Smkd Belly Spare Ribs /kg","676.5","KG","31090248","No","NONVAT","JF-FRES PK","1.000"
"J31090249","Pork Leg Roast B/Less & Scored","909","KG","31090249","No","NONVAT","JF-FRES PK","1.000"
"J31090250","Frozen Shoulder Riblets /kg","521","KG","31090250","No","NONVAT","JF-FRES PK","1.000"
"J31090251","Pork Leg Bone-In Shank On","0","KG","31090251","No","NONVAT","JF-FRES PK","0.000"
"J31090252","Portioned Neck Fillet","505","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090253","Smoked Baby Loin Spare Ribs","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090254","Baby Pork Loin Bone-in per kg","496","KG","31090254","No","NONVAT","JF-FRES PK","1.000"
"J31090255","Smkd Pork Shld Square Cut Ribs","0","KG","","No","VAT16","JF-HAM","0.000"
"J31090264","Smoked Shanks /kg","401","KG","31090264","No","VAT16","JF-HAM","1.000"
"J31090265","Pure Lard 250gms","67","PC","","No","VAT16","JF-PRE LAR","0.250"
"J31090267","Pork Topside Rind On","719","KG","31090267","No","NONVAT","JF-FRES PK","1.000"
"J31090268","Small  Head","225.5","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090269","Diced Pork Leg","434.5","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090270","Pork Belly B'less R'on C-Grade","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090271","Pork Trotter per kg - Export","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090272","Whole Pork Head /kg - Export","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090273","Pork Liver 500gms","0","PC","","No","NONVAT","JF-MISCPRK","0.500"
"J31090274","Sow leg B'in R'ss","189","KG","","No","NONVAT","JF-FRES PK","0.000"
"J31090275","Sow Cubes","174","KG","","No","NONVAT","JF-FRES PK","0.000"
"J31090276","Cubed Pork Fillet","823","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090277","Shank with Trotter attached","149.5","KG","31090277","No","NONVAT","JF-FRES PK","1.000"
"J31090278","Sow Head","355","PC","","No","NONVAT","JF-FRES PK","10.000"
"J31090279","Pork Loins Ribs per 750gms","509.5","PC","31090279","No","NONVAT","JF-FRES PK","0.750"
"J31090280","Fresh Hamburger 200gms Promo","98.7","PC","31090201","No","NONVAT","JF-FRES PK","0.200"
"J31090281","Pork Leg Strips","496","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090282","Pork Neck Fillet Netted","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090283","Pork Trimmings 60/40","0","KG","","No","NONVAT","JF-FRES PK","1.000"
